Area,Group.C,Group.D,Group,Depth,Age,Individual,Core_C,Rim_C,Individual,Core_O,Rim_O,Shore,lat,long,average_temp_GroupC,modifiedtemp,water temp (F) (Surface/Bottom),Wt(g),TL(mm),SL(mm),Gonad Wt(g),Fat (g),Mouth Height (mm),Mouth Width (mm),dO18
WFS,A,A,W_A,9.4488,1.25,135,NA,-3.722,135,NA,0.133,13.48,26,-81.9,87.07,-3.293,,600,335,261,0.15,4.16,30.2,54.1,
WFS,A,A,W_A,9.4488,1.25,136,-5.869,-3.716,136,-0.132,-0.804,13.48,26,-81.9,87.07,-3.293,,495,306,230,0.19,12.26,35.4,49.1,=
WFS,A,A,W_A,9.4488,1.5,137,-6.684,-4.339,137,-0.832,0.18,13.48,26,-81.9,87.07,-3.293,,380,291,223,4.18,13.88,36.6,43.9,
WFS,A,A,W_A,13.716,3.5,152,-6.041,-4.699,152,0.729,0.349,28.22,25.85,-81.98,87.07,-3.293,,435,301,231,3.58,11.18,36.8,44.1,
WFS,A,A,W_A,12.6492,2,O14,-5.298,-3.765,O14,-0.082,0.126,18.37,25.854,-81.879,87.07,-3.293,87.07,579.7,330,248,0.39,18.6,45.8,53.7,
Keys,A,B,K_A,9.144,,5,-4.746,-4.561,5,-0.553,0.062,9.36,24.797618,-81.084314,87.07,-3.293,NA,NA,212,NA,NA,NA,NA,NA,
Keys,A,B,K_A,9.144,,8,-4.248,-4.408,8,-0.507,-0.344,9.36,24.797618,-81.084314,87.07,-3.293,NA,NA,192,NA,NA,NA,NA,NA,
Keys,A,B,K_A,9.144,,10,-5.347,-4.3,10,-1.315,-0.963,9.36,24.797618,-81.084314,87.07,-3.293,NA,NA,205,NA,NA,NA,NA,NA,
Keys,A,B,K_A,9.144,,11,-4.387,-4.506,11,-0.262,-0.005,9.36,24.797618,-81.084314,87.07,-3.293,NA,NA,NA,NA,NA,NA,NA,NA,
Keys,A,B,K_A,9.144,,13,-6.131,-3.776,13,-0.936,-0.43,9.36,24.797618,-81.084314,87.07,-3.293,NA,NA,271,NA,NA,NA,NA,NA,
Keys,A,B,K_A,9.144,,17,-3.983,-4.284,17,-0.736,0.038,9.36,24.797618,-81.084314,87.07,-3.293,NA,NA,214,NA,NA,NA,NA,NA,
WFS,C,C,W_A,33.528,2.5,141,-4.858,-3.205,141,0.126,0.304,92.76,26,-82.7,70,-5,70,800,371,286,0.67,26.93,43.9,62.5,
WFS,C,C,W_A,33.528,1.75,144,-4.467,-3.184,144,-0.567,-0.669,92.76,26,-82.7,70,-5,70,445,314,237,0.12,13.3,40.6,51.4,
Keys,C,D,K_B,30.48,,18,-6.796,-4.08,18,-1.205,0.146,3.87,24.33357736,-81.48170532,70,-5,NA,NA,237,NA,NA,NA,NA,NA,
Keys,C,D,K_B,30.48,,19,-4.523,-4.028,19,-0.995,-0.112,3.87,24.33357736,-81.48170532,70,-5,NA,NA,300,NA,NA,NA,NA,NA,
WFS,D,E,W_B,48.1584,1.25,158,-6.625,-3.244,158,-0.711,0.3555,106.41,26.49,-83.2,71.35,-4.865,75,418.5,300,220,0.58,14.41,35.6,47,
WFS,D,E,W_B,48.1584,1.25,158,-6.196,-4.738,158,-0.387,0.382,106.41,26.49,-83.2,71.35,-4.865,75,418.5,300,220,0.58,14.41,35.6,47,
WFS,D,E,W_B,48.1584,1.25,158,-5.535,-4.193,158,-0.02,0.306,106.41,26.49,-83.2,71.35,-4.865,75,418.5,300,220,0.58,14.41,35.6,47,
WFS,D,E,W_B,45.72,,249,-5.717,-5.105,249,0.299,-0.189,120.51,25.8343,-82.9433,71.35,-4.865,68.6,464,321,245,0.23,10.47,41.1,51.1,
WFS,D,E,W_B,45.72,,250,-6.843,-5.227,250,-0.118,0.082,120.51,25.8343,-82.9433,71.35,-4.865,68.6,468.2,315,245,0.32,4.49,37.7,45.2,
WFS,D,E,W_B,45.72,,251,-6.39,-3.882,251,0.228,0.378,120.51,25.8343,-82.9433,71.35,-4.865,68.6,355,293,223,0.2,17.32,39.1,46.4,
WFS,D,E,W_B,58.5216,,026- Alex,-7.606,-7.008,026- Alex,-0.401,-0.15,153.75,25.5257,-83.1835,71.35,-4.865,70,303.5,302,230,0.29,3.26,35.7,47.4,
WFS,D,E,W_B,58.5216,,OO6,-6.367,-5.263,OO6,-0.431,0.157,153.75,25.5257,-83.1835,71.35,-4.865,70,95.6,205,150,0.93,2.86,28,32.4,
WFS,E,F,W_B,70.104,,235,-6.832,-6.251,235,0.076,0.092,173.92,25.984,-83.608,69.33333333,-5.066666667,70,103.5,207,155,0.01,1.76,29.5,34.9,
WFS,E,F,W_B,70.104,,238,NA,-5.639,238,NA,0.09,173.92,25.984,-83.608,69.33333333,-5.066666667,69.6,112.38,219,163,2.96,1.47,30.5,35.7,
WFS,E,F,W_B,70.104,,338,-6.918,-6.114,338,-0.296,0.41,186.66,25.858,-83.635,69.33333333,-5.066666667,69,100.46,202,151,0.02,9.77,29.2,35,
WFS,E,F,W_B,70.104,,338?,NA,-5.728,338,NA,0.47,186.66,25.858,-83.635,69.33333333,-5.066666667,69,100.46,202,151,0.02,9.77,29.2,35,
WFS,E,F,W_B,69.7992,,342,-6.282,NA,342,0.624,NA,186.66,25.858,-83.635,69.33333333,-5.066666667,69.4,322.1,286,215,27.97,2.49,38.3,47.2,
WFS,E,F,W_B,70.104,,338-B,-7.09,NA,338-B,-0.213,NA,186.66,25.858,-83.635,69.33333333,-5.066666667,69,100.46,202,151,0.02,9.77,29.2,35,
WFS,G,G,W_C,92.964,1.25,126,-7.681,-4.128,126,-0.167,0.767,200.02,25.59,-83.71,68.77142857,-5.122857143,68.6,226,276,209,0.23,1.14,33.9,41.1,
