SEASON,STOCK,STOCK_1,STOCK_2,CARBON,OXYGEN,Final 
C,A,A,A,-5.869,-0.132,Y
C,A,A,A,NA,NA,Y
C,A,A,A,-6.684,-0.832,Y
C,A,A,A,-5.298,-0.082,Y
C,A,A,A,-6.041,0.729,Y
C,A,B,A,-4.788,-0.853,Y
C,A,C,A,-4.858,0.126,Y
C,A,C,A,-4.467,-0.567,Y
C,B,D,B,-6.843,-0.118,Y
C,B,D,B,-6.39,0.228,Y
C,B,D,B,-5.717,0.299,Y
C,B,D,B,-6.625,-0.711,Y
C,B,D,B,-6.196,-0.387,Y
C,B,D,B,-5.535,-0.02,Y
C,B,D,B,-6.367,-0.431,Y
C,B,D,B,-7.606,-0.401,Y
C,B,E,B,-6.282,0.624,Y
C,B,E,B,-6.918,-0.296,Y
C,B,E,B,-7.09,-0.213,Y
C,B,E,B,NA,NA,Y
C,B,E,B,-6.832,0.076,Y
C,B,E,B,NA,NA,Y
C,B,G,C,-7.681,-0.167,Y
C,B,G,C,-6.437,0.227,Y
C,B,G,C,-6.93,0.59,Y
C,B,G,C,-7.307,-0.131,Y
C,B,G,C,-6.237,-0.037,Y
C,B,G,C,-6.257,-0.056,Y
C,B,G,C,-6.754,0.458,Y
R,A,A,A,-3.716,-0.804,Y
R,A,A,A,-3.722,0.133,Y
R,A,A,A,-4.339,0.18,Y
R,A,A,A,-3.765,0.126,Y
R,A,A,A,-4.699,0.349,Y
R,A,B,A,-3.299,-0.565,Y
R,A,C,A,-3.205,0.304,Y
R,A,C,A,-3.184,-0.669,Y
R,B,D,B,-5.227,0.082,Y
R,B,D,B,-3.882,0.378,Y
R,B,D,B,-5.105,-0.189,Y
R,B,D,B,-3.244,0.3555,Y
R,B,D,B,-4.738,0.382,Y
R,B,D,B,-4.193,0.306,Y
R,B,D,B,-5.263,0.157,Y
R,B,D,B,-7.008,-0.15,Y
R,B,E,B,NA,NA,Y
R,B,E,B,-6.114,0.41,Y
R,B,E,B,NA,NA,Y
R,B,E,B,-5.728,0.47,Y
R,B,E,B,-6.251,0.092,Y
R,B,E,B,-5.639,0.09,Y
R,B,G,C,-4.128,0.767,Y
R,B,G,C,-4.155,0.475,Y
R,B,G,C,-4.431,0.268,Y
R,B,G,C,NA,NA,Y
R,B,G,C,-4.819,0.587,Y
R,B,G,C,-4.724,0.811,Y
R,B,G,C,-4.735,0.539,Y
C,K,K,K,-3.983,-0.736,N
C,K,K,K,-6.131,-0.936,N
C,K,K,K,-5.347,-1.315,N
C,K,K,K,-4.746,-0.553,N
C,K,K,K,-4.248,-0.507,N
C,K,K,K,-4.387,-0.262,N
R,K,K,K,-4.284,0.038,N
R,K,K,K,-3.776,-0.43,N
R,K,K,K,-4.3,-0.963,N
R,K,K,K,-4.561,0.062,N
R,K,K,K,-4.408,-0.344,N
R,K,K,K,-4.506,-0.005,N
C,KD,K,KD,-7.045,-0.547,N
C,KD,K,KD,-4.523,-0.995,N
C,KD,K,KD,-6.796,-1.205,N
R,KD,K,KD,-4.111,-0.106,N
R,KD,K,KD,-4.028,-0.112,N
R,KD,K,KD,-4.08,0.146,N
